Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7991;400;2000;COLORMIX01;RECHAPADO;218,58
7991;400;2500;COLORMIX01;RECHAPADO;250,35
7991;500;500;COLORMIX01;RECHAPADO;142,79
7991;500;1000;COLORMIX01;RECHAPADO;180,93
7991;500;2000;COLORMIX01;RECHAPADO;236,21
7991;500;2500;COLORMIX01;RECHAPADO;271,67
7991;600;500;COLORMIX01;RECHAPADO;149,89
7991;600;1000;COLORMIX01;RECHAPADO;192,08
7991;600;2000;COLORMIX01;RECHAPADO;253,84
7991;600;2500;COLORMIX01;RECHAPADO;292,99
7991;400;500;GRISOSCURO;LACADO;143,04
7991;400;1000;GRISOSCURO;LACADO;187,61
7991;400;2000;GRISOSCURO;LACADO;252,46
7991;400;2500;GRISOSCURO;LACADO;293,49
7991;500;500;GRISOSCURO;LACADO;152,95
7991;500;1000;GRISOSCURO;LACADO;205,19
7991;500;2000;GRISOSCURO;LACADO;282,51
7991;500;2500;GRISOSCURO;LACADO;330,53
7991;600;500;GRISOSCURO;LACADO;162,87
7991;600;1000;GRISOSCURO;LACADO;222,78
7991;600;2000;GRISOSCURO;LACADO;312,55
7991;600;2500;GRISOSCURO;LACADO;367,56
7991;400;500;GRISOSCURO;ANODIZADO;145,66
7991;400;1000;GRISOSCURO;ANODIZADO;191,69
7991;400;2000;GRISOSCURO;ANODIZADO;259,45
7991;400;2500;GRISOSCURO;ANODIZADO;301,93
7991;500;500;GRISOSCURO;ANODIZADO;155,87
7991;500;1000;GRISOSCURO;ANODIZADO;209,56
7991;500;2000;GRISOSCURO;ANODIZADO;289,79
7991;500;2500;GRISOSCURO;ANODIZADO;339,26
7991;600;500;GRISOSCURO;ANODIZADO;166,07
7991;600;1000;GRISOSCURO;ANODIZADO;227,43
7991;600;2000;GRISOSCURO;ANODIZADO;320,12
7991;600;2500;GRISOSCURO;ANODIZADO;376,59
7991;400;500;GRISOSCURO;RECHAPADO;150,14
7991;400;1000;GRISOSCURO;RECHAPADO;198,66
7991;400;2000;GRISOSCURO;RECHAPADO;271,40
7991;400;2500;GRISOSCURO;RECHAPADO;316,38
7991;500;500;GRISOSCURO;RECHAPADO;160,85
7991;500;1000;GRISOSCURO;RECHAPADO;217,03
7991;500;2000;GRISOSCURO;RECHAPADO;302,24
7991;500;2500;GRISOSCURO;RECHAPADO;354,21
7991;600;500;GRISOSCURO;RECHAPADO;171,55
7991;600;1000;GRISOSCURO;RECHAPADO;235,40
7991;600;2000;GRISOSCURO;RECHAPADO;333,08
7991;600;2500;GRISOSCURO;RECHAPADO;392,03
7991;400;500;MATE;LACADO;136,37
7991;400;1000;MATE;LACADO;174,28
7991;400;2000;MATE;LACADO;206,87
7991;400;2500;MATE;LACADO;236,50
